State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"OK","Grant",2144,812,2018,720,1647,646,1609,688
"OK","Greer",2432,511,2128,534,1918,386,1235,755
"OK","Harmon",1514,2688,1459,2501,1152,2353,1386,521
"OK","Harper",1174,403,933,356,619,313,929,2466
"OK","Haskell",1009,1304,453,1397,170,1350,315,342
"OK","Hughes",963,1355,628,1371,349,1252,2551,1588
"OK","Jackson",931,2453,967,2356,761,2227,2651,1465
"OK","Jefferson",59,528,2572,603,2180,610,447,2237
"OK","Johnston",601,1172,259,1159,131,1165,1529,803
"OK","Kay",2196,419,2094,340,1843,187,2416,1354
"OK","Kingfisher",19,2167,10,2047,2574,1837,1560,252
"OK","Kiowa",383,1158,234,1088,101,998,2418,2013
"OK","Latimer",765,1114,319,1229,165,1155,2393,1154
"OK","Le Flore",2351,74,2017,183,1852,148,2441,1359
"OK","Lincoln",1691,18,1530,48,1412,2836,1391,381
"OK","Logan",1939,172,2137,277,1861,280,1024,108
"OK","Love",480,1010,268,1111,36,1059,1720,416
"OK","Major",2061,1375,1541,135,1387,139,2339,1289
"OK","Marshall",851,1475,1219,2535,1041,2550,1247,353
"OK","Mayes",2392,2881,1455,1931,1204,1833,668,2727
"OK","McClain",1579,6,2021,1280,1792,1194,871,2125
"OK","McCurtain",1563,2530,591,1576,370,1598,1331,1296
